,label_norm,headline_text,subject,stateinfo,partyaffiliation,barelytruecounts_norm,falsecounts_norm,halftruecounts_norm,mostlytrueocunts_norm,pantsonfirecounts_norm,clickbait_score_norm,clean,sentiment_vector,vader_polarity,sentiment_score,index,topic_number,lda_score,topic_top_words
0,-1.176990801292362,Says the Annies List political group supports third-trimester abortions on demand.,abortion,Texas,republican,-0.6619854037139481,-0.5463429171430514,-0.5312810064060147,-0.509050973936079,-0.4440485826870501,-0.9427244570555116,say anni list polit group support third trimmest abort demand,"[0.123, 0.656, 0.221, 0.296]",0,0.296,0,1,0.8874766230583191,million said health romney govern care weve budget month vote
1,0.8496243121883177,When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.,"energy,history,job-accomplishments",Virginia,democrat,-0.6619854037139481,-0.5843873494811581,-0.5059453606810765,-0.48394526588228104,-0.4440485826870501,-0.16099519973416437,decline coal start start natur gas took start begin presid george w bush administr,"[0.0, 1.0, 0.0, 0.0]",0,0.0,1,7,0.7105937600135803,vote help state year bill democrat company money educ took
2,0.8496243121883177,"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""",foreign-policy,Illinois,democrat,2.7140249640680096,2.1167673465244192,3.522422309584104,3.5831794388329943,0.33938311463871024,-0.5030017498122535,hillary clinton agre john mccain vote give george bush benefit doubt iran,"[0.161, 0.645, 0.194, 0.128]",0,0.128,2,5,0.610090434551239,presid state every obama country dollar economi would unit call
4,0.8496243121883177,The economic turnaround started at the end of my term.,"economy,jobs",Florida,democrat,0.06144538938218572,-0.24198745843819763,-0.02456809190724994,-0.032042520913917134,-0.2699526499479923,-1.1870148499684325,econom turnaround start end term,"[0.0, 1.0, 0.0, 0.0]",0,0.0,4,5,0.7749550342559814,presid state every obama country dollar economi would unit call
5,0.8496243121883177,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,education,Wisconsin,republican,-0.6619854037139481,-0.470254052466838,-0.4806097149561383,-0.38352243366708905,-0.3570006163175212,0.08329519317875687,chicago bear start quarterback last year total number tenure uw faculty fire last two dead,"[0.335, 0.6, 0.065, -0.7506]",0,-0.7506,5,3,0.5472918152809143,percent year state plan would time spend averag last nation
6,-1.176990801292362,Jim Dunnam has not lived in the district he represents for years now.,candidates-biography,Texas,republican,-0.5172992450947212,-0.5463429171430514,-0.5059453606810765,-0.43373384977468504,-0.3570006163175212,0.3275855860916776,jim dunam live district repres year,"[0.0, 1.0, 0.0, 0.0]",0,0.0,6,3,0.8199777603149414,percent year state plan would time spend averag last nation
7,0.8496243121883177,"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.",ethics,Illinois,democrat,2.7140249640680096,2.1167673465244192,3.522422309584104,3.5831794388329943,0.33938311463871024,1.4513213934911147,person stage work activ last year pass along rus feingold toughest ethic reform sinc water,"[0.085, 0.915, 0.0, -0.0772]",0,-0.0772,7,8,0.4671309292316437,state health care rate unit percent county school spend country
9,0.8496243121883177,Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,"energy,message-machine-2014,voting-record",Wisconsin,republican,-0.6619854037139481,-0.5843873494811581,-0.5312810064060147,-0.48394526588228104,-0.4440485826870501,-1.2358729285510168,say gop primary ippon glenn gaothan joe leibham cast compromis vote cost million higher elect cost,"[0.0, 1.0, 0.0, 0.0]",0,0.0,9,4,0.5177108645439148,percent rate vote state bill health florida year obama time
10,0.8496243121883177,"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.",elections,New Jersey,democrat,-0.6137566841742058,-0.470254052466838,-0.5059453606810765,-0.43373384977468504,-0.4440485826870501,0.27872750750909386,first time histori share nation popular vote margin smaller latino vote margin,"[0.0, 0.667, 0.333, 0.6124]",0,0.6124,10,4,0.5238102674484253,percent rate vote state bill health florida year obama time
11,0.8496243121883177,"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.","economy,jobs,new-hampshire-2012,poverty",Vermont,independent,0.20613154800141248,-0.12785416142387748,0.02610319954262654,0.5202830562696388,-0.4440485826870501,0.3764436646742618,sinc near million american slip middle class poverty,"[0.32, 0.68, 0.0, -0.5106]",0,-0.5106,11,9,0.8874844908714294,year peopl american health woman clinton care sinc trump million
