,Unnamed: 0,Unnamed: 0.1,raw_text,clean,label,sentiment_vector,vader_polarity,sentiment_score,sentiment_0,sentiment_1,sentiment_2
0,0,0,"Weird Kid Opts To Sit Perfectly Still, Let Universe Decide His Fate After Teacher Instructs Class To Pair Up… ",weird kid opt sit perfect still let univers decid fate teacher instruct class pair,1,"[0.098, 0.69, 0.213, 0.4588]",0,0.4588,0.098,0.69,0.213
1,1,1,Kamala Harris Enters 2020 Race #WhatDoYouThink? ,kamala harri enter race whatdoyouthink,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
2,2,2,Viral Video Sparks National Debate Around Drumming In Public ,viral video spark nation debat around drum public,1,"[0.0, 0.787, 0.213, 0.2263]",0,0.2263,0.0,0.787,0.213
3,3,3,Kamala Harris Assembles Campaign Staff Of Unpaid California Prison Laborers ,kamala harri assembl campaign staff unpaid california prison labor,1,"[0.292, 0.708, 0.0, -0.5106]",0,-0.5106,0.292,0.708,0.0
4,4,4,Study Finds Chimpanzees Only Other Animal Capable Of Keeping Lid On Friend’s Affair ,studi find chimpanze anim capabl keep lid friend affair,1,"[0.0, 0.714, 0.286, 0.4939]",0,0.4939,0.0,0.7140000000000001,0.28600000000000003
5,5,5,"To see more unmatched reporting, visit ",see unmatch report visit,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
6,6,6,"Your Horoscopes — Week Of January 22, 2019 ",horoscop week januari,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
7,7,7,New Express Transplant List Offers Patients Kidney Or First Available Organ ,new express transplant list offer patient kidney first avail organ,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
8,8,8,Tokyo Portal Outage Delays Millions Of Japanese Warp Commuters ,tokyo portal outag delay million japanes warp commut,1,"[0.247, 0.753, 0.0, -0.3182]",0,-0.3182,0.247,0.753,0.0
9,9,9,Area Man Thinks Movie He Saw Should Have Been Nominated ,area man think movi saw nomin,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
10,10,10,Ulta Releases Line Of Shitty Hair Ties To Give Cheap-Ass Friend Who’s Always Borrowing Them ,ulta releas line shitti hair tie give cheap as friend alway borrow,1,"[0.0, 0.775, 0.225, 0.4939]",0,0.4939,0.0,0.775,0.225
11,11,11,Report: Tiger That Mauled Roy Horn Still Struggling To Find Work ,report tiger maul roy horn still struggl find work,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
12,12,12,Detective Not Sure He Was Close Enough To Partner To Endlessly Pursue Killer ,detect sure close enough partner endless pursu killer,1,"[0.341, 0.476, 0.183, -0.4588]",0,-0.4588,0.341,0.47600000000000003,0.183
13,13,13,National News Highlights ,nation news highlight,1,"[0.0, 0.455, 0.545, 0.34]",1,0.34,0.0,0.455,0.545
14,14,14,Closing Of State Aviary Facilities Puts Hundreds Of Mentally Ill Birds On The Streets ,close state aviari facil put hundr mental ill bird street,1,"[0.237, 0.763, 0.0, -0.4215]",0,-0.4215,0.237,0.763,0.0
15,15,15,Woman Happy To Have Such Good Takeout Places She Can Call When Feeling Low ,woman happi good takeout place call feel low,1,"[0.191, 0.545, 0.264, 0.2023]",0,0.2023,0.191,0.545,0.264
16,16,16,"For more exemplary journalism, visit ",exemplari journal visit,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
17,17,17,Foster Home Gets New Shipment ,foster home get new shipment,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
18,18,18,Guidebook Writer Stumbles Upon New England Town Too Quaint For Human Eyes ,guidebook writer stumbl upon new england town quaint human eye,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
19,19,19,5 Things To Know About Julian Castro ,thing know julian castro,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
20,20,20,E.P.T. Clarifies Pregnancy Tests Intended For Entertainment Purposes Only ,e p clarifi pregnanc test intend entertain purpos,1,"[0.0, 0.685, 0.315, 0.3182]",0,0.3182,0.0,0.685,0.315
21,21,21,Whale Won’t Shut Up About Time It Was Beached ,whale shut time beach,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
22,22,22,Trump Approval Plunges Amidst Shutdown #WhatDoYouThink? ,trump approv plung amidst shutdown whatdoyouthink,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
23,23,23,Man Beginning To Worry That Best Meals Already Behind Him ,man begin worri best meal alreadi behind,1,"[0.0, 0.588, 0.412, 0.6369]",0,0.6369,0.0,0.588,0.41200000000000003
24,24,24,Queen Elizabeth Watches As Oxen Pull Apart Farmer Who Failed To Provide Yearly Tithe Of Grain… ,queen elizabeth watch ox pull apart farmer fail provid year tith grain,1,"[0.241, 0.759, 0.0, -0.5423]",0,-0.5423,0.24100000000000002,0.759,0.0
25,25,25,Dan Savage Disgusted By Letter From Perverted Reader Contemplating Oral Sex ,dan savag disgust letter pervert reader contempl oral sex,1,"[0.507, 0.493, 0.0, -0.802]",-1,-0.802,0.507,0.493,0.0
26,26,26,Doctor Weirded Out By Patient She Just Met Providing Every Lurid Detail Of Medical History ,doctor weird patient met provid everi lurid detail medic histori,1,"[0.159, 0.841, 0.0, -0.1779]",0,-0.1779,0.159,0.841,0.0
27,27,27,"The Week In Pictures – Week Of January 21, 2019 ",week pictur week januari,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
28,28,28,Orlando Locals Fear Town Starting To Become Overrun By Tourists ,orlando local fear town start becom overrun tourist,1,"[0.314, 0.686, 0.0, -0.4939]",0,-0.4939,0.314,0.6859999999999999,0.0
29,29,29,Nation Celebrates MLK Day #WhatDoYouThink? ,nation celebr mlk day whatdoyouthink,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
30,30,30,Snowstorm In Chicago Delays Hundreds Of Morning Murders ,snowstorm chicago delay hundr morn murder,1,"[0.636, 0.364, 0.0, -0.7906]",-1,-0.7906,0.636,0.364,0.0
31,31,31,Body Given False Hope With First Piece Of Fruit In 9 Days ,bodi given fals hope first piec fruit day,1,"[0.0, 0.707, 0.293, 0.4404]",0,0.4404,0.0,0.7070000000000001,0.293
32,32,32,Sudden Burst Of Confidence Not Sure Where The Hell It Came From Either ,sudden burst confid sure hell came either,1,"[0.387, 0.42, 0.193, -0.5106]",0,-0.5106,0.387,0.42,0.193
33,33,33,Group Of Hunky Cardinals Appeal To Pope To Relax Celibacy Requirement ,group hunki cardin appeal pope relax celibaci requir,1,"[0.0, 0.707, 0.293, 0.4404]",0,0.4404,0.0,0.7070000000000001,0.293
34,34,34,Presumptuous Congressional Freshman Thinks She Can Just Come In And Represent Constituents ,presumptu congression freshman think come repres constitu,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
35,35,35,Man Knows He Must Ride Unexpected Urge To Clean As Far As It Will Take Him ,man know must ride unexpect urg clean far take,1,"[0.0, 0.748, 0.252, 0.4019]",0,0.4019,0.0,0.748,0.252
36,36,36,Fox News Debuts Premium Channel For 24-Hour Coverage Of Alexandria Ocasio-Cortez ,fox news debut premium channel hour coverag alexandria ocasio cortez,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
37,37,37,Mom Keeps Sending Newspaper Clippings About Former Classmates Who Have Been Murdered ,mom keep send newspap clip former classmat murder,1,"[0.402, 0.598, 0.0, -0.6908]",0,-0.6908,0.402,0.598,0.0
38,38,38,Furloughed Government Employee Using Time Off To Visit Local Food Pantry She Been Hearing About… ,furlough govern employe use time visit local food pantri hear,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
39,39,39,God Admits Humans Not Most Impressive Creation ,god admit human impress creation,1,"[0.0, 0.101, 0.899, 0.7845]",1,0.7845,0.0,0.10099999999999999,0.899
40,40,40,Lincoln Memorial Empty After Former President’s Statue Furloughed ,lincoln memori empti former presid statu furlough,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
41,41,41,Neighbors Come Together To Watch BMW Owner Struggle In Snow ,neighbor come togeth watch bmw owner struggl snow,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
42,42,42,This Weekend's Onion Magazine: ,weekend onion magazin,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
43,43,43,Poll Shows Increasing Number Of Voters Blame Founding Fathers For Starting America ,poll show increas number voter blame found father start america,1,"[0.205, 0.684, 0.111, -0.2732]",0,-0.2732,0.205,0.684,0.111
44,44,44,Four Homeless People Dead In What Girlfriend Refers To As 'Cuddle Weather' ,four homeless peopl dead girlfriend refer cuddl weather,1,"[0.381, 0.619, 0.0, -0.6486]",0,-0.6486,0.381,0.619,0.0
45,45,45,"Fed-Up EU Rejects United Kingdom, Gives British 30 Days To Vacate Europe ",fed eu reject unit kingdom give british day vacat europ,1,"[0.231, 0.769, 0.0, -0.4019]",0,-0.4019,0.231,0.769,0.0
46,46,46,Man Taking Phone Out Of Case For First Time In Years Struck By Forgotten Beauty ,man take phone case first time year struck forgotten beauti,1,"[0.328, 0.672, 0.0, -0.4404]",0,-0.4404,0.32799999999999996,0.672,0.0
47,47,47,Chuck Schumer Honestly Pretty Amazed He Hasn’t Caved Yet ,chuck schumer honest pretti amaz cave yet,1,"[0.0, 0.645, 0.355, 0.5106]",0,0.5106,0.0,0.645,0.355
48,48,48,Grounded Plane Makes Snow Angel On Tarmac ,ground plane make snow angel tarmac,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
49,49,49,‘Game Of Thrones’ Fans Excited To Hear Series Will Finally Be Over ,game throne fan excit hear seri final,1,"[0.0, 0.723, 0.277, 0.3182]",0,0.3182,0.0,0.723,0.27699999999999997
50,50,50,Polar Vortex Splits Into U.S.-Chilling Rings #WhatDoYouThink? ,polar vortex split u chill ring whatdoyouthink,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
51,51,51,Furloughed Federal Employee Starts Online Search For New Government ,furlough feder employe start onlin search new govern,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
52,52,52,Report: Authorities Recommend The Film ‘You've Got Mail’ For Those Snowed In Today ,report author recommend film got mail snow today,1,"[0.0, 0.737, 0.263, 0.3612]",0,0.3612,0.0,0.737,0.263
53,53,53,"New Study Finds Staring Out From Balcony With Best Friends Strongest Indicator That This Your City, Your Time… ",new studi find stare balconi best friend strongest indic citi time,1,"[0.0, 0.437, 0.563, 0.8834]",1,0.8834,0.0,0.43700000000000006,0.563
54,54,54,Rescue Chip Sent In To Save Broken Tostito Submerged In 7-Layer Dip ,rescu chip sent save broken tostito submerg layer dip,1,"[0.233, 0.526, 0.241, 0.0258]",0,0.0258,0.233,0.526,0.24100000000000002
55,55,55,"For more world-renowned reportage, visit ",world renown reportag visit,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
56,56,56,Wedding Guest Blissfully Unaware She Barely Made The Cut ,wed guest bliss unawar bare made cut,1,"[0.194, 0.463, 0.343, 0.3818]",0,0.3818,0.19399999999999998,0.46299999999999997,0.34299999999999997
57,57,57,5 Things To Know About Kirsten Gillibrand ,thing know kirsten gillibrand,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
58,58,58,Anne Geddes Starting To Lose It ,ann gedd start lose,1,"[0.474, 0.526, 0.0, -0.4019]",0,-0.4019,0.474,0.526,0.0
59,59,59,Michael Cohen Says He Paid To Rig Polls In Trump’s Favor #WhatDoYouThink? ,michael cohen say paid rig poll trump favor whatdoyouthink,1,"[0.134, 0.625, 0.241, 0.296]",0,0.29600000000000004,0.134,0.625,0.24100000000000002
60,60,60,Trump Dismisses Trump As A Distraction ,trump dismiss trump distract,1,"[0.423, 0.577, 0.0, -0.296]",0,-0.29600000000000004,0.423,0.5770000000000001,0.0
61,61,61,Should The Oakland A’s Have Sent Brad Pitt To Persuade Kyler Murray? ,oakland sent brad pitt persuad kyler murray,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
62,62,62,Trump Postpones Grand Opening Of Trump Tower Moscow Until Fuss Over Bombshell Report Dies Down… ,trump postpon grand open trump tower moscow fuss bombshel report dy,1,"[0.0, 0.769, 0.231, 0.4588]",0,0.4588,0.0,0.769,0.231
63,63,63,‘If This Report Is True’ To Be Repeated 5.7 Billion Times Today ,report true repeat billion time today,1,"[0.0, 0.641, 0.359, 0.4215]",0,0.4215,0.0,0.6409999999999999,0.359
64,64,64,Defiant Pelosi Begins Swimming To Afghanistan After Trump Denies Use Of Government Plane ,defiant pelosi begin swim afghanistan trump deni use govern plane,1,"[0.174, 0.826, 0.0, -0.2263]",0,-0.2263,0.174,0.826,0.0
65,65,65,Patriots Score 2 Touchdowns Against Chiefs In Preemptive Strike Before AFC Championship Game ,patriot score touchdown chief preemptiv strike afc championship game,1,"[0.132, 0.614, 0.254, 0.34]",0,0.34,0.132,0.614,0.254
66,66,66,ICE Launches Campaign To Reunite Immigrant Children With Arresting Officer ,ice launch campaign reunit immigr child arrest offic,1,"[0.255, 0.745, 0.0, -0.34]",0,-0.34,0.255,0.745,0.0
