,speaker,twitter_handle,followers,tweets,verified
0,dwayne bohac,dwayne_bohac,2124,1230,0
1,scott surovell,ssurovell,5969,8953,0
2,barack obama,BarackObama,106128237,15625,1
3,charlie crist,CharlieCrist,32236,2712,1
4,oregon lottery,oregon_lottery,3539,4240,0
5,duey stroebel,SenStroebel,1400,1195,0
6,robert menendez,SenatorMenendez ‏,160365,10198,1
7,bernie s,SenSanders,8332897,20131,1
8,mitt romney,MittRomney,1976486,1804,1
9,doonesbury,DoonesburyComic,2550,1158,0
10,george will,GeorgeWillRSS,6954,816,0
11,gwen moore,RepGwenMoore ‏,36526,6780,1
12,jack lew,repjohnlewis ‏,1059593,1925,1
13,eric bolling,ericbolling,1100191,32298,1
14,hillary clinton,HillaryClinton,24512161,10905,1
15,nancy pelosi,SpeakerPelosi,2518224,8797,1
16,ted nugent,TedNugent,361145,3188,1
17,pamela geller,PamelaGeller,200539,1718,1
18,peter kinder,PeterKinder,10262,14360,1
19,nicholas kettle,nickkettle21,295,537,0
20,shelley moore capito,SenCapito,66573,7772,1
21,rick scott,SenRickScott,249740,13197,1
22,tom cotton,SenTomCotton,148220,8372,1
23,ted cruz,tedcruz,3328438,23939,1
24,lee leffingwell,TheRealLeeVIP,404,362,0
25,kelly ayotte,KellyAyotte,64111,9681,1
26,marco rubio,marcorubio,3889012,10994,1
27,rachel maddow,maddow,9618056,9973,1
28,jerry patterson,Patterson4TX,4725,2486,0
29,john boehner,SpeakerBoehner,1402319,22676,1
30,katrina pierson,KatrinaPierson,466453,48179,1
31,rick perry,GovernorPerry,354084,3577,1
32,ken cuccinelli,KenCuccinelli,22615,2340,1
33,andrew cuomo,NYGovCuomo,853075,25675,1
34,sid miller,MillerForTexas,6873,7916,0
35,jim barksdale,jimbarksdale,961,647,0
36,david raynor,crddraynor,411,181,0
37,donald trump,realDonaldTrump,60223138,41876,1
38,john mccain,SenJohnMcCain,3144690,14412,1
39,michelle obama,MichelleObama,12567952,1113,1
40,rudy giuliani,RudyGiuliani,307500,467,1
41,john barrasso,barrassoforwyo ‏,351,263,0
42,empower texans,EmpowerTexans,12581,14869,1
43,john depetro,JohnDePetroshow,8775,73209,1
44,garnet coleman,GFColeman,8153,1541,1
45,michael opitz,MichaelOpitz,1159,10989,0
46,terry mcauliffe,TerryMcAuliffe,66544,4760,1
47,alfredo gutierrez,AlfredoPhxAZ,3509,6826,0
48,david cote,DavidCote,8910,4125,0
49,elena kagan,KaganScotus,1866,169,0
50,texas veterans commission,TexasVeterans,6438,3277,1
51,jeanne shaheen,JeanneShaheen,15575,1575,1
52,susan happ,Happ4WI,968,259,0
53,karl rove,KarlRove,667849,9114,1
54,gwen graham,GwenGraham,27264,4804,1
55,bill white,whitebil,2615,4372,1
56,bob goodlatte,RepGoodlatte,134516,6261,1
57,cory booker,CoryBooker,4247552,63454,1
58,joe biden,JoeBiden,3563856,1666,1
59,jim skaggs,SPANKYSPL,75,883,0
60,ralph hudgens,ralphhudgens,908,803,0
61,robert sarvis,RobertSarvisVA,2226,10128,0
62,will weatherford,willweatherford,21393,2915,1
63,mark shields,Mark__Shields,1927,4790,1
64,mitch mcconnell,senatemajldr ‏,873409,3589,1
65,frank caprio,fcaprio2,562,3855,0
66,david scott,repdavidscott,20611,2809,1
67,scott walker,ScottWalker,281917,14769,1
68,ron johnson,SenRonJohnson ‏,105641,4979,1
69,donna brazile,donnabrazile,653399,54737,1
70,paul ryan,SpeakerRyan,3643591,14928,1
71,adam hasner,AdamHasner,5502,12374,0
72,mark pocan,repmarkpocan ‏,86156,5680,1
73,kathleen sebelius,Sebelius,2985,67,1
74,bruce elfant,BElfant01,1,4,0
75,dave yost,Yost4Ohio,5761,6050,1
76,joe scarborough,JoeNBC,2543924,45699,1
77,texas house democratic caucus,TexasHDC,3641,4167,1
78,david jolly,DavidJollyFL,92587,12378,1
79,jon keyser,Jon_Keyser,938,524,0
80,sean hannity,seanhannity,4082590,459,1
81,rush limbaugh,rushlimbaugh,597843,1178,1
82,john robitaille,John_Robitaille,2664,6551,0
83,patricia morgan,repmorgan ‏,3029,14555,0
84,dave brat,DaveBratVA7th,16307,3448,1
85,mark warner,MarkWarner,444660,8734,1
86,rob portman,robportman,20301,6729,1
87,john cornyn,JohnCornyn ‏,201704,31200,1
88,louie gohmert,replouiegohmert,208943,7377,1
89,armond budish,ArmondBudish,1846,1001,0
90,jeff kruse,JeffKruse303,24,280,0
91,mike haridopolos,MikeHaridopolos,6068,4330,1
92,kendrick meek,KendrickMeek,6648,1266,0
93,eric cantor,EricCantor,278792,7734,1
94,ron paul,RonPaul,641624,6991,1
95,nancy pfotenhauer,NPfotenhauer,131,47,0
96,stephen sweeney,StephenSweens10,431,2360,0
97,sheldon whitehouse,SenWhitehouse,320991,11621,1
98,pat quinn,PQuinnfortheWin,2594,4237,0
99,matthew dowd,matthewjdowd,138445,117732,1
100,darrell issa,DarrellIssa,298926,21325,1
101,chris christie,ChrisChristie,134635,2823,1
102,robert jacquard,RobertJacquard,63,22,0
103,dream defenders,Dreamdefenders,66827,34508,1
104,greg abbott,GregAbbott_TX,247445,10914,1
105,david cicilline,davidcicilline,83681,18660,1
106,wendy davis,wendydavis,195955,8988,1
107,marcy kaptur,RepMarcyKaptur,19760,4267,1
108,tamara holder,tamaraholder,19213,25442,1
109,mike murphy,mcwm,18173,83098,1
110,lamar smith,LamarSmithTX21,27054,349,1
111,bill johnson,RepBillJohnson,35972,5754,1
112,eric hovde,EricHovde,2241,1938,1
113,john skvarla,JohnSkvarla,81,1,0
114,daniel mielke,DanielDMielke,24,0,0
115,ben carson,SecretaryCarson,277252,1383,1
116,raymond bateman,RaymondBatema10,0,0,0
117,mark neumann,MarkNeumannnn,1173,361,0
118,sarah palin,SarahPalinUSA,1512095,17582,1
119,rana foroohar,RanaForoohar,18309,3711,1
120,tom niehaus,CasaDiPace,150,2292,0
121,sherrod brown,SenSherrodBrown,369742,5926,1
122,john kasich,JohnKasich,946770,11812,1
123,robby mook,RobbyMook,82808,634,1
124,lindsey graham,LindseyGrahamSC,854207,9497,1
125,mark strama,markstrama,1776,166,0
126,fix austin schools,FixAustinSchool,24,15,0
127,steven teske,scteskelaw,2364,2088,0
128,kesha rogers,KeshaRogersTX,465,1093,0
129,james bennett,James_L_Bennett,2856,4435,1
130,jeff merkley,JeffMerkley,103510,2763,1
