,speaker,twitter_handle
0,dwayne bohac,dwayne_bohac
1,scott surovell,ssurovell
2,barack obama,BarackObama
3,blog posting,
4,charlie crist,CharlieCrist
5,robin vos,
6,republican party texas,
7,oregon lottery,oregon_lottery
8,duey stroebel,SenStroebel
9,robert menendez,SenatorMenendez ‏
10,bernie s,SenSanders
11,mitt romney,MittRomney
12,doonesbury,DoonesburyComic
13,george will,GeorgeWillRSS
14,national republican congressional committee,
15,gwen moore,RepGwenMoore ‏
16,jack lew,repjohnlewis ‏
17,dennis richardson,
18,eric bolling,ericbolling
19,hillary clinton,HillaryClinton
20,greater wisconsin political fund,
21,planned parenthood action fund,
22,nancy pelosi,SpeakerPelosi
23,ted nugent,TedNugent
24,pamela geller,PamelaGeller
25,peter kinder,PeterKinder
26,nicholas kettle,nickkettle21
27,shelley moore capito,SenCapito
28,rick scott,SenRickScott
29,tom cotton,SenTomCotton
30,ted cruz,tedcruz
31,lee leffingwell,TheRealLeeVIP
32,north korea,
33,walking dead,
34,kelly ayotte,KellyAyotte
35,marco rubio,marcorubio
36,keep promise 1 pac,
37,rachel maddow,maddow
38,jerry patterson,Patterson4TX
39,chain email,
40,john boehner,SpeakerBoehner
41,katrina pierson,KatrinaPierson
42,rick perry,GovernorPerry
43,national republican senatorial committee,
44,ken cuccinelli,KenCuccinelli
45,andrew cuomo,NYGovCuomo
46,sid miller,MillerForTexas
47,jim barksdale,jimbarksdale
48,david raynor,crddraynor
49,donald trump,realDonaldTrump
50,john mccain,SenJohnMcCain
51,battleground texas,
52,michelle obama,MichelleObama
53,rudy giuliani,RudyGiuliani
54,john barrasso,barrassoforwyo ‏
55,empower texans,EmpowerTexans
56,john depetro,JohnDePetroshow
57,garnet coleman,GFColeman
58,michael opitz,MichaelOpitz
59,terry mcauliffe,TerryMcAuliffe
60,alfredo gutierrez,AlfredoPhxAZ
61,david cote,DavidCote
62,elena kagan,KaganScotus
63,texas veterans commission,TexasVeterans
64,republican party florida,
65,maurice ferre,
66,jeanne shaheen,JeanneShaheen
67,susan happ,Happ4WI
68,sameh shoukry,
69,karl rove,KarlRove
70,gwen graham,GwenGraham
