,speaker,twitter_handle,followers
0,dwayne bohac,dwayne_bohac,2124
1,scott surovell,ssurovell,5969
2,barack obama,BarackObama,106128237
3,charlie crist,CharlieCrist,32236
4,oregon lottery,oregon_lottery,3539
5,duey stroebel,SenStroebel,1400
6,robert menendez,SenatorMenendez ‏,160365
7,bernie s,SenSanders,8332897
8,mitt romney,MittRomney,1976486
9,doonesbury,DoonesburyComic,2550
10,george will,GeorgeWillRSS,6954
11,gwen moore,RepGwenMoore ‏,36526
12,jack lew,repjohnlewis ‏,1059593
13,eric bolling,ericbolling,1100191
14,hillary clinton,HillaryClinton,24512161
15,nancy pelosi,SpeakerPelosi,2518224
16,ted nugent,TedNugent,361145
17,pamela geller,PamelaGeller,200539
18,peter kinder,PeterKinder,10262
19,nicholas kettle,nickkettle21,295
20,shelley moore capito,SenCapito,66573
21,rick scott,SenRickScott,249740
22,tom cotton,SenTomCotton,148220
23,ted cruz,tedcruz,3328438
24,lee leffingwell,TheRealLeeVIP,404
25,kelly ayotte,KellyAyotte,64111
26,marco rubio,marcorubio,3889012
27,rachel maddow,maddow,9618056
28,jerry patterson,Patterson4TX,4725
29,john boehner,SpeakerBoehner,1402319
30,katrina pierson,KatrinaPierson,466453
31,rick perry,GovernorPerry,354084
32,ken cuccinelli,KenCuccinelli,22615
33,andrew cuomo,NYGovCuomo,853075
34,sid miller,MillerForTexas,6873
35,jim barksdale,jimbarksdale,961
36,david raynor,crddraynor,411
37,donald trump,realDonaldTrump,60223138
38,john mccain,SenJohnMcCain,3144690
39,michelle obama,MichelleObama,12567952
40,rudy giuliani,RudyGiuliani,307500
41,john barrasso,barrassoforwyo ‏,351
42,empower texans,EmpowerTexans,12581
43,john depetro,JohnDePetroshow,8775
44,garnet coleman,GFColeman,8153
45,michael opitz,MichaelOpitz,1159
46,terry mcauliffe,TerryMcAuliffe,66544
47,alfredo gutierrez,AlfredoPhxAZ,3509
48,david cote,DavidCote,8910
49,elena kagan,KaganScotus,1866
50,texas veterans commission,TexasVeterans,6438
51,jeanne shaheen,JeanneShaheen,15575
52,susan happ,Happ4WI,968
53,karl rove,KarlRove,667849
54,gwen graham,GwenGraham,27264
55,bill white,whitebil,2615
56,bob goodlatte,RepGoodlatte,134516
57,cory booker,CoryBooker,4247552
58,joe biden,JoeBiden,3563856
59,jim skaggs,SPANKYSPL,75
60,ralph hudgens,ralphhudgens,908
61,robert sarvis,RobertSarvisVA,2226
62,will weatherford,willweatherford,21393
63,mark shields,Mark__Shields,1927
64,mitch mcconnell,senatemajldr ‏,873409
65,frank caprio,fcaprio2,562
66,david scott,repdavidscott,20611
67,scott walker,ScottWalker,281917
68,ron johnson,SenRonJohnson ‏,105641
69,donna brazile,donnabrazile,653399
70,paul ryan,SpeakerRyan,3643591
71,adam hasner,AdamHasner,5502
72,mark pocan,repmarkpocan ‏,86156
73,kathleen sebelius,Sebelius,2985
74,bruce elfant,BElfant01,1
75,dave yost,Yost4Ohio,5761
76,joe scarborough,JoeNBC,2543924
77,texas house democratic caucus,TexasHDC,3641
78,david jolly,DavidJollyFL,92587
79,jon keyser,Jon_Keyser,938
80,sean hannity,seanhannity,4082590
81,rush limbaugh,rushlimbaugh,597843
82,john robitaille,John_Robitaille,2664
83,patricia morgan,repmorgan ‏,3029
84,dave brat,DaveBratVA7th,16307
85,mark warner,MarkWarner,444660
86,rob portman,robportman,20301
87,john cornyn,JohnCornyn ‏,201704
88,louie gohmert,replouiegohmert,208943
89,armond budish,ArmondBudish,1846
90,jeff kruse,JeffKruse303,24
91,mike haridopolos,MikeHaridopolos,6068
92,kendrick meek,KendrickMeek,6648
93,eric cantor,EricCantor,278792
94,ron paul,RonPaul,641624
95,nancy pfotenhauer,NPfotenhauer,131
96,stephen sweeney,StephenSweens10,431
97,sheldon whitehouse,SenWhitehouse,320991
98,pat quinn,PQuinnfortheWin,2594
99,matthew dowd,matthewjdowd,138445
100,darrell issa,DarrellIssa,298926
101,chris christie,ChrisChristie,134635
102,robert jacquard,RobertJacquard,63
103,dream defenders,Dreamdefenders,66827
104,greg abbott,GregAbbott_TX,247445
105,david cicilline,davidcicilline,83681
106,wendy davis,wendydavis,195955
107,marcy kaptur,RepMarcyKaptur,19760
108,tamara holder,tamaraholder,19213
109,mike murphy,mcwm,18173
110,lamar smith,LamarSmithTX21,27054
111,bill johnson,RepBillJohnson,35972
112,eric hovde,EricHovde,2241
113,john skvarla,JohnSkvarla,81
114,daniel mielke,DanielDMielke,24
115,ben carson,SecretaryCarson,277252
116,raymond bateman,RaymondBatema10,0
117,mark neumann,MarkNeumannnn,1173
118,sarah palin,SarahPalinUSA,1512095
119,rana foroohar,RanaForoohar,18309
120,tom niehaus,CasaDiPace,150
121,sherrod brown,SenSherrodBrown,369742
122,john kasich,JohnKasich,946770
123,robby mook,RobbyMook,82808
124,lindsey graham,LindseyGrahamSC,854207
125,mark strama,markstrama,1776
126,fix austin schools,FixAustinSchool,24
127,steven teske,scteskelaw,2364
128,kesha rogers,KeshaRogersTX,465
129,james bennett,James_L_Bennett,2856
130,jeff merkley,JeffMerkley,103510
131,dick cheney,KenadiTaylor,599
132,michael moore,MMFlint,6039059
133,bill richardson,WBRichardson,720
134,paul sarlo,PaulASarlo,3012
135,connie mack,ConnieMackIV,22060
136,allen west,AllenWest,753588
137,evan feinberg,evanfeinberg,1968
138,moveon,MoveOn,340945
139,lou dobbs,LouDobbs,1933849
140,trent franks,TrentFranksNews,142
141,kim guadagno,KimGuadagnoNJ,11427
142,ted strickland,Ted_Strickland,16261
143,christine sinicki,sinicki328,40
144,michele bachmann,MicheleBachmann,250996
145,dan patrick,DanPatrick,52848
146,jeb bush,JebBush,1419822
147,newt gingrich,newtgingrich,2117403
148,tom barrett,Barrett4MKE,13357
149,chris thomas,ctkmusic,854
150,joyce kaufman,joyceonair,3938
151,christopher plante,Chris91UconnBoY,101
152,gerry connolly,GerryConnolly,47424
153,dave weldon,Davweldon,360
154,john garamendi,RepGaramendi,27886
155,peter kilmartin,PeterFKilmartin,482
156,david dewhurst,DavidHDewhurst,12641
157,joshua feuerstein,TheEvangel1st,19
158,bill belichick,BelichickFDN,3896
159,josh mandel,JoshMandelOhio,14708
160,bill clinton,BillClinton,11083996
161,chip rogers,chiprogers,387
162,chris hayes,chrislhayes,1853892
163,progress texas,ProgressTX,10846
164,bill foster,RepBillFoster,40639
165,ken legler,KenLegler,2371
166,bob mcdonnell,BobMcDonnell,29567
167,dwight jones,DwightJones21,785
168,rick santorum,RickSantorum,289614
169,chris wallace,ChrisWallace101,29801
170,lloyd doggett,RepLloydDoggett,32736
171,cory mason,MayorCoryMason,3966
172,dan kaufman,dankaufman70,1148
173,larry elder,larryelder,527396
174,dale kooyenga,DaleKooyenga,6181
175,dan gelber,MayorDanGelber,1459
176,mary nolan,marybnolan,1826
177,michelle rhee,MichelleRhee,76655
178,joe gibbons,JoeGibbonsEEA,2111
179,steve rothman,steve02476,148
180,mary margaret oliver,mmo_mary,3238
181,herb garrett,cook_n_good,8
182,peter shumlin,GovPeterShumlin,21118
183,karen handel,karenhandel,17875
184,adam kinzinger,RepKinzinger,49621
185,donna howard,DonnaHowardTX,15661
186,john bradley,johnbradleywest,116256
187,glenn grothman,GrothmanforWI,1367
188,we are ohio,We_Are_Ohio,4634
189,arianna huffington,ariannahuff,2962196
190,joe lieberman,JoeLieberman,31767
191,jon erpenbach,JonErpenbach,6372
192,john kerry,JohnKerry,3355137
193,kathleen vinehout,VinehoutK,3637
194,michael burgess,michaelcburgess,28122
195,ralph nader,RalphNader,77331
196,leticia van de putte,leticiavdp,30697
197,craig melvin,craigmelvin,69987
198,john plumb,JohnFPlumb,605
199,judicial watch,JudicialWatch,1094885
200,tom price,pricetom,9698
201,sondy pope,RepSondy,1751
202,carlos curbelo,carloslcurbelo,22029
203,claudia tenney,claudiatenney,7930
204,loretta weinberg,SenatorLorettaW,8163
205,todd hunter,toddahunter,5819
206,tim knopp,SenatorKnopp,1718
207,sandy adams,pastor_sandy,1427
208,brett hulsey,hulsey07,94
209,reince priebus,Reince,937309
210,victoria taft,VictoriaTaft,6254
211,rahm emanuel,RahmEmanuel,128826
212,frank annunziato,cheech870000,8
213,michael steele,MichaelSteele,112401
214,claire mccaskill,clairecmc,449171
215,60 plus association,60PlusAssoc,5456
216,chris abele,ChrisAbeleMKE,5566
217,michael doherty,profmdoherty,1942
218,ellen rosenblum,ORDOJ,3878
219,john kline,repjohnkline,8607
220,american crossroads,AmericanXRoads,9782
221,tim kaine,timkaine,989301
222,debbie wasserman schultz,DWStweets,366971
223,jeff morales,jeffmorales,662
224,virginia education association,VEA4Kids,2128
225,jimmy carter,CarterLibrary,55120
226,jeff dickerson,DickersonESPN,94281
227,chris jacobs,ChrisJacobs,66609
228,phil kerpen,kerpen,36502
229,joanne kloppenburg,joanne8553,0
230,paul krugman,paulkrugman,4525830
231,mike pence,mike_pence,3799267
232,kay bailey hutchison,kaybaileyhutch,23384
